Features,PC1,PC2,PC3,PC4,PC5
MaxAbsEStateIndex,0.5030690028918149,0.4003552774357437,0.01784948580938078,0.05331080215516499,0.040368977471060774
MaxEStateIndex,0.5030690028918129,0.40035527743574,0.01784948580938155,0.05331080215516497,0.04036897747106074
MinAbsEStateIndex,0.34546606023780563,0.282857183249118,0.052835017594873225,0.0444610437965042,0.08820890449822262
MinEStateIndex,0.30638854056896603,0.4224181692375466,0.0796788961937419,0.36983475571339164,0.15961519480171765
qed,0.6357127956406143,0.2761650716835779,0.2510101633420084,0.13620087020695715,0.030992112964287912
SPS,0.3684970283555872,0.5603210660240081,0.3600809918245142,0.4217717305893439,0.06891688343527096
MolWt,0.9700607839367199,0.03227049012534053,0.15852015670607503,0.020569571993158457,0.08704485577424037
HeavyAtomMolWt,0.9576200555137813,0.08989080160537409,0.1829362158048763,0.048903328009605784,0.12392162450688761
ExactMolWt,0.9704595311863309,0.03220038795394394,0.15773653076678068,0.020199954048095808,0.08640257744711569
NumValenceElectrons,0.9847096162860526,0.029695122629892823,0.07089423782393031,0.03758250287360696,0.03131789487189107
NumRadicalElectrons,0.0006615566070950121,0.0024016435168364284,0.0010829428701618752,0.0005804554574805658,0.003113364670883663
MaxPartialCharge,0.314405425476159,0.3469957428417535,0.129533504715374,0.1503004992288987,0.18715003663558463
MinPartialCharge,0.055950539862301786,0.37530746309309476,0.04066569092824733,0.556411513859093,0.2503235266402656
MaxAbsPartialCharge,0.05619582833026124,0.37568482163842426,0.04029199345160968,0.5556410582807274,0.2485714977285899
MinAbsPartialCharge,0.3162790578344565,0.3490153064131651,0.12996598755023167,0.15027547252990334,0.18628866601917574
FpDensityMorgan1,0.22628737492090706,0.10369601706133548,0.685756816880606,0.0647999101542286,0.05955955686196359
FpDensityMorgan2,0.2465264160545786,0.049323074410240586,0.6033424263024955,0.0789694139206738,0.1661460182795969
FpDensityMorgan3,0.15537207145627036,0.2046572805704788,0.4606439684465719,0.10756612107391181,0.24039472261715483
BCUT2D_MWHI,0.016893608450866005,0.10058902611678446,0.2667603899495143,0.2248527555120327,0.40638642280566367
BCUT2D_MWLOW,0.24325304761045505,0.3209055629911519,0.004814342655843932,0.04017874624690262,0.3183806793913608
BCUT2D_CHGHI,0.541648409163936,0.26833609192763935,0.2730454351062014,0.32641253925068603,0.023468235856697092
BCUT2D_CHGLO,0.5375473727157506,0.42824084352263636,0.2400876086099044,0.2687031910814492,0.13332724473474722
BCUT2D_LOGPHI,0.18810775973088698,0.19306499122574852,0.23491883020560844,0.3347990946512544,0.009986510009559213
BCUT2D_LOGPLOW,0.4262884822630514,0.3649473743613341,0.36518077530724835,0.036579767063207445,0.08558734914518781
BCUT2D_MRHI,0.09640536246409394,0.17161659443017585,0.2350747944953831,0.2389910039085552,0.4415907985847566
BCUT2D_MRLOW,0.348713641343961,0.24714855036513814,0.3528961327205646,0.05559294216945633,0.1922189951008321
AvgIpc,0.612351446668718,0.22044734670741584,0.03312664783896311,0.010502437889528995,0.3490277950548158
BalabanJ,0.46867057509433385,0.4835916727264941,0.07636359728902953,0.108305796352711,0.2428778155940535
BertzCT,0.7568087463759251,0.1556590474217261,0.4545027947585136,0.051290948411759865,0.3131174287806117
Chi0,0.9720174723302781,0.08145119142037277,0.13780577153992257,0.0697835108817997,0.031135099470594504
Chi0n,0.9407449921109353,0.18400231762328997,0.10147983533424072,0.14632630377986844,0.08703888078669343
Chi0v,0.9457948903986524,0.16505827416583133,0.14725958488259897,0.10206722363124593,0.007730838009058917
Chi1,0.9661001255248409,0.04545594378229282,0.17135620441379365,0.03971686774277546,0.0317287735018157
Chi1n,0.9127642427693415,0.34450021529361063,0.0650391977947492,0.10230010159028512,0.08642785473367129
Chi1v,0.908959162431292,0.29508733134755205,0.14015714268205445,0.0012074048235010332,0.07047073558065255
Chi2n,0.8751490671953847,0.4318090460405328,0.023773802780811926,0.054472835838440634,0.1042185208434553
Chi2v,0.8414406676305528,0.3515935711034116,0.11993043244771995,0.08049258620798477,0.10142574111721231
Chi3n,0.8146326195961557,0.5352505300485001,0.0002262905131498316,0.01788067494450373,0.06924940179047079
Chi3v,0.7798808194239019,0.4472978967989304,0.09166760844762693,0.149681797249212,0.13997351829930807
Chi4n,0.7489032999499987,0.595282786637591,0.011964331207480713,0.06397608100910122,0.042726907710444954
Chi4v,0.7160992622186236,0.5011945564734638,0.07431157802324673,0.19011093439817173,0.16653586320547215
HallKierAlpha,0.5109472983647744,0.5391196132620149,0.3092219833412191,0.1972195322154444,0.1296207722351891
Ipc,0.006745988127829668,0.0009786200143223661,0.002394741245600736,9.05216926042193e-05,0.003517616573230452
Kappa1,0.9451504344085154,0.07281302383340231,0.05879592238734221,0.12035053878445406,0.1394955389145584
Kappa2,0.8408726424321822,0.03575271806963383,0.0177399487594394,0.23631843598107297,0.22231236112711555
